operator|version|certified|created|company|repos|ocpversion|sdkversion|operatortype|source-redhat|source-community|source-marketplace|source-certified|source-operatorhub|channel|default-channel
percona-server-mongodb-operator.v1.4.0|1.4.0|true|2020-03-10T10:35:26Z|Percona|https://github.com/percona/percona-server-mongodb-operator|4.6|v0.17.1|golang||||yes|||
percona-server-mongodb-operator.v1.5.0|1.5.0|true|2020-09-10T10:35:26.000Z|Percona|https://github.com/percona/percona-server-mongodb-operator|4.6|v0.17.1|golang|||||yes||
percona-xtradb-cluster-operator.v1.5.0|1.5.0|true|2020-05-08T19:11:44.000Z|Percona|https://github.com/percona/percona-xtradb-cluster-operator|4.6|v0.17.1|golang||||yes|||
percona-xtradb-cluster-operator.v1.6.0|1.6.0|true|2020-10-15T10:11:44.000Z|Percona|https://github.com/percona/percona-xtradb-cluster-operator|4.6|v0.17.1|golang|||||yes||
performance-addon-operator.v4.4.1|4.4.1|false|2020-05-07T05:39:25Z|Red Hat|https://github.com/operator-kni/performance-addon-operators|4.6|||yes|||||unknown|unknown
performance-addon-operator.v4.5.1|4.5.1|false|2020-05-07T05:39:25Z|Red Hat|https://github.com/operator-kni/performance-addon-operators|4.6|||yes|||||unknown|unknown
performance-addon-operator.v4.6.0|4.6.0|false|2020-05-07T05:39:25Z|Red Hat|https://github.com/operator-kni/performance-addon-operators|4.6|||yes|||||unknown|unknown
planetscale-operator.v0.1.8|0.1.8|False|2019-03-06 21:40:00|PlanetScale|https://github.com/percona/percona-xtradb-cluster-operator|4.6|v0.17.1|golang|||||yes||
pmem-csi-operator.v0.8.0|0.8.0|false|2020-10-13T17:41:44Z|Intel® Corporation|https://github.com/intel/pmem-csi/tree/release-0.8|4.6|||||||yes|unknown|unknown
portshift-operator.v0.1.6|0.1.6|true|2020-02-11 01:00:00+00:00|Portshift|https://github.com/Tufin/orca-operator|4.6|||||yes|yes||beta|
portworx-essentials.v1.3.3|1.3.3|false|2020-08-04T08:00:00Z|Portworx|https://github.com/libopenstorage/operator|4.6|||||||yes|alpha|
portworx-operator.v1.4.0|1.4.0|true|2020-09-24T08:00:00Z|Portworx|https://github.com/libopenstorage/operator|4.6|||||yes|yes|yes|alpha|
postgres-operator.v1.3.0|1.3.0|false|2019-07-24 10:30:00|Zalando SE|https://github.com/zalando/postgres-operator|4.6|||||||yes|stable|
postgresoperator.v4.0.1|4.0.1|false|07/04/2019|CrunchyData.com|https://github.com/CrunchyData/postgres-operator|4.6|||||||yes|stable|
postgresoperator.v4.1.0|4.1.0|false|10/29/2019|CrunchyData.com|https://github.com/CrunchyData/postgres-operator|4.6|||||||yes|stable|
postgresoperator.v4.2.2|4.2.2|false|2019-12-31 19:40Z|Crunchy Data|https://github.com/CrunchyData/postgres-operator|4.6|||||||yes|stable|
postgresoperator.v4.3.2|4.3.2|false|2019-12-31 19:40Z|Crunchy Data|https://github.com/CrunchyData/postgres-operator|4.6|||||||yes|stable|
postgresoperator.v4.5.0|4.5.0|false|2019-12-31 19:40Z|Crunchy Data|https://github.com/CrunchyData/postgres-operator|4.6|||||yes|yes|yes|stable|
postgresql-operator.v0.0.1|0.0.1|true|2019-12-13 09:00:00|Openlabs|https://github.com/janepelladinesh/postgresql-operator|4.6|||||||yes|alpha|alpha
postgresql-operator.v0.1.1|0.1.1|false|2019-09-08T08:00:00Z|Dev4Devs.com|https://github.com/dev4devs-com/postgresql-operator|4.6|v0.18.1|golang|||||yes|alpha|alpha
presto-operator.0.32.0|0.32.0|true|2020-07-23T01:49:01Z|Starburst Data|https://github.com/CrunchyData/postgres-operator|4.6|||||yes|yes||stable|
prisma-cloud-compute-console-operator.v1.0.0|1.0.0|false|2019-04-01 00:00:00|Palo Alto Networks|https://github.com/twistlock/sample-code/tree/master/operators/twistlock-console-helm-operator|4.6|||||||yes|unknown|unknown
project-quay-container-security-operator.v1.0.6|1.0.6|false|2020-04-13 00:00:00|Project Quay|https://github.com/quay/container-security-operator|4.6|||||||yes|alpha|alpha
project-quay.v1.1.2|1.1.2|false|2020-07-01|Project Quay|https://github.com/redhat-cop/quay-operator|4.6|||||||yes|alpha|alpha
prometheus-exporter-operator.v0.2.0|0.2.0|false|2020-06-08 00:00:00|Red Hat|https://github.com/3scale/prometheus-exporter-operator|4.6|v0.18.1|ansible|||||yes|alpha|alpha
prometheusoperator.0.37.0|0.37.0|false|2019-09-04 12:00:00|Red Hat|https://github.com/coreos/prometheus-operator|4.6|||||||yes||
ptp-operator.4.6.0-202010200139.p0.8|4.6.0-202010200139.p0|false|2019-10-14|Red Hat|https://github.com/openshift/ptp-operator|4.6|v0.18.1|golang|yes|||||4.6|
pystol.v0.8.17|0.8.17|false|2020-06-11 10:00:00|Pystol|https://github.com/pystol/pystol|4.6|||||||yes|alpha|alpha
quay-bridge-operator.v3.3.1|3.3.1|false|2020-03-18 01:03:00|Red Hat|https://github.com/redhat-cop/quay-openshift-registry-operator|4.6|v0.8.1-0.20190607203525-cf3aaf10d465|golang|yes|||||alpha|alpha
rapidbiz-operator.v0.0.1|0.0.1|Red Hat certified|2020-02-04T16:00:00Z|Vacava|https://access.redhat.com/containers/#/registry.connect.redhat.com/vacava/rapidbiz-operator|4.6|||||yes|yes||unknown|unknown
red-hat-quay.v3.3.2-20200903|3.3.2-20200903|false|2020-06-08|Red Hat|https://github.com/redhat-cop/quay-operator|4.6|||yes|||||alpha|alpha
redhat-marketplace-operator.v1.0.4|1.0.4|true|2020-10-16T03:24:13Z|Red Hat Marketplace|https://github.com/redhat-marketplace/redhat-marketplace-operator|4.6|v0.19.2|golang||||yes|| stable,beta| stable
redis-enterprise-operator-preview.v6.0.8-1|6.0.8-1|true|2020-10-16T03:24:13Z|Redis Labs|https://github.com/redhat-marketplace/redhat-marketplace-operator|4.6|v0.19.2|golang||||yes|| stable,beta| stable
redis-enterprise-operator.v0.0.1|0.0.1|false|2019-02-24 11:35:59|Redis Labs, Inc|https://github.com/pystol/pystol|4.6|||||||yes|alpha|alpha
redis-enterprise-operator.v5.4.14-7|5.4.14-7|true|2020-10-16T03:24:13Z|Redis Labs|https://github.com/redhat-marketplace/redhat-marketplace-operator|4.6|v0.19.2|golang||||yes|| stable,beta| stable
redis-enterprise-operator.v6.0.6-24|6.0.6-24|true|2020-10-16T03:24:13Z|Redis Labs|https://github.com/redhat-marketplace/redhat-marketplace-operator|4.6|v0.19.2|golang||||yes|| stable,beta| stable
redis-enterprise-operator.v6.0.8-1|6.0.8-1|true|2020-10-16T03:24:13Z|Redis Labs|https://github.com/redhat-marketplace/redhat-marketplace-operator|4.6|v0.19.2|golang||||yes|| stable,beta| stable
redis-operator.v0.2.0|0.2.0|false|8-1-2020|Opstree Solutions|https://github.com/ot-container-kit/redis-operator|4.6|v0.15.2|golang|||||yes||
rhsso-operator.7.4.2|7.4.2|False|2020-05-04 00:00:00|Red Hat|https://github.com/keycloak/keycloak-operator|4.6|v0.18.2|golang|yes|||||alpha|alpha
ripsaw.v0.1.0|0.1.0|false|2019-06-28 06:42:43|Red Hat Performance|https://github.com/cloud-bulldozer/ripsaw/|4.6|v0.17.1|ansible|||||yes| alpha| ""
robin-operator.v5.3.2-52|5.3.2-52|true||Robin.io|https://access.redhat.com/containers/#/registry.connect.redhat.com/vacava/rapidbiz-operator|4.6|||||yes|yes||unknown|unknown
robin-operator.v5.3.2-55|5.3.2-55|true|2020-10-27-T12:59:59Z|Robin.io|https://github.com/cloud-bulldozer/ripsaw/|4.6|v0.17.1|ansible|||||yes| alpha| ""
rocketchat-operator.v0.1.0|0.1.0|true|2020-03-26T04:07:54+00:00|Rocket.Chat|github.com/jsm84/rocketchat-operator|4.6|||||yes|yes||unknown|unknown
rocketmq-operator.0.2.1|0.2.1|False|2019-11-8 16:06:00|the Apache Software Foundation|https://github.com/apache/rocketmq-operator|4.6|v0.6.0|golang|||||yes||
rook-ceph.v1.1.1|1.1.1|false|2019-09-23T11-51-58Z|The Rook Authors|https://github.com/rook/rook|4.6|||||||yes|beta|
rook-edgefs.v1.0.1|1.0.1|false|2019-05-16T22-53-57Z|The Rook Authors|https://github.com/rook/rook|4.6|||||||yes|beta|
